ensembl,uniprot,hmdb
ENSG00000002834,P35221,HMDB0000736
ENSG00000005238,P00533,HMDB0002815
ENSG00000006062,P02751,HMDB0006731
ENSG00000006118,P21860,HMDB0007989
ENSG00000010610,P06239,HMDB0007991
ENSG00000011258,P19022,HMDB0008057
ENSG00000013297,P38936,HMDB0042996
ENSG00000013375,Q15121,HMDB0044026
ENSG00000014257,P60484,HMDB0042310
ENSG00000015133,P57735,HMDB0044889
ENSG00000034510,Q92878,HMDB0044088
ENSG00000040608,Q06609,HMDB0005383
ENSG00000048740,Q96T37,HMDB0042496
ENSG00000050405,Q07955,HMDB0042203
ENSG00000054654,P43405,HMDB0042734
ENSG00000058085,Q16635,HMDB0000064
ENSG00000058600,Q03135,HMDB0001473
ENSG00000058668,O96017,HMDB0001076
ENSG00000059588,P05121,HMDB0000112
ENSG00000060558,,HMDB0000125
ENSG00000064547,,HMDB0250763
ENSG00000065675,,HMDB0000172
ENSG00000067082,,HMDB0000186
ENSG00000067225,,HMDB0000696
ENSG00000068001,,HMDB0001406
ENSG00000068912,,HMDB0303018
ENSG00000071127,,HMDB0001511
ENSG00000072163,,HMDB0000267
ENSG00000073350,,HMDB0001548
ENSG00000073712,,HMDB0000251
ENSG00000079841,,HMDB0000235
ENSG00000080573,,HMDB0000167
ENSG00000084112,,HMDB0000925
ENSG00000084636,,HMDB0030396
ENSG00000085063,,HMDB0000883
ENSG00000087274,,HMDB0013773
ENSG00000087494,,HMDB0003405
ENSG00000090376,,HMDB0000158
ENSG00000090447,,
ENSG00000091986,,
ENSG00000092929,,
ENSG00000100106,,
ENSG00000100196,,
ENSG00000100558,,
ENSG00000100934,,
ENSG00000101665,,
ENSG00000102466,,
ENSG00000102901,,
ENSG00000103888,,
ENSG00000105355,,
ENSG00000105404,,
ENSG00000105825,,
ENSG00000106366,,
ENSG00000106688,,
ENSG00000107249,,
ENSG00000107771,,
ENSG00000108821,,
ENSG00000108854,,
ENSG00000109680,,
ENSG00000109743,,
ENSG00000110427,,
ENSG00000110801,,
ENSG00000110876,,
ENSG00000110906,,
ENSG00000111186,,
ENSG00000111450,,
ENSG00000111652,,
ENSG00000112210,,
ENSG00000112787,,
ENSG00000112964,,
ENSG00000113083,,
ENSG00000113212,,
ENSG00000113273,,
ENSG00000113368,,
ENSG00000113578,,
ENSG00000113580,,
ENSG00000113721,,
ENSG00000113732,,
ENSG00000114853,,
ENSG00000115091,,
ENSG00000115129,,
ENSG00000115145,,
ENSG00000115234,,
ENSG00000115310,,
ENSG00000115414,,
ENSG00000115594,,
ENSG00000115884,,
ENSG00000117676,,
ENSG00000118473,,
ENSG00000118523,,
ENSG00000118898,,
ENSG00000119397,,
ENSG00000119681,,
ENSG00000119938,,
ENSG00000120327,,
ENSG00000120805,,
ENSG00000120910,,
ENSG00000121068,,
ENSG00000122641,,
ENSG00000122786,,
ENSG00000122986,,
ENSG00000123240,,
ENSG00000123384,,
ENSG00000124171,,
ENSG00000125637,,
ENSG00000126214,,
ENSG00000126458,,
ENSG00000126524,,
ENSG00000127528,,
ENSG00000127951,,
ENSG00000128595,,
ENSG00000128604,,
ENSG00000128791,,
ENSG00000129009,,
ENSG00000129187,,
ENSG00000129250,,
ENSG00000131941,,
ENSG00000134318,,
ENSG00000134594,,
ENSG00000134686,,
ENSG00000134755,,
ENSG00000135318,,
ENSG00000135404,,
ENSG00000135919,,
ENSG00000136044,,
ENSG00000136828,,
ENSG00000136868,,
ENSG00000137312,,
ENSG00000138069,,
ENSG00000138347,,
ENSG00000138399,,
ENSG00000138411,,
ENSG00000138685,,
ENSG00000139209,,
ENSG00000139926,,
ENSG00000140092,,
ENSG00000140545,,
ENSG00000140937,,
ENSG00000141524,,
ENSG00000141934,,
ENSG00000142185,,
ENSG00000142227,,
ENSG00000142279,,
ENSG00000142677,,
ENSG00000142910,,
ENSG00000143867,,
ENSG00000144230,,
ENSG00000145088,,
ENSG00000145191,,
ENSG00000145536,,
ENSG00000145817,,
ENSG00000146083,,
ENSG00000146197,,
ENSG00000146425,,
ENSG00000146966,,
ENSG00000147145,,
ENSG00000147274,,
ENSG00000148841,,
ENSG00000149090,,
ENSG00000149571,,
ENSG00000149577,,
ENSG00000150093,,
ENSG00000150630,,
ENSG00000150782,,
ENSG00000150938,,
ENSG00000150961,,
ENSG00000152767,,
ENSG00000153310,,
ENSG00000154319,,
ENSG00000154710,,
ENSG00000154914,,
ENSG00000155189,,
ENSG00000155816,,
ENSG00000155846,,
ENSG00000157600,,
ENSG00000158769,,
ENSG00000160013,,
ENSG00000160796,,
ENSG00000161921,,
ENSG00000162522,,
ENSG00000162616,,
ENSG00000162676,,
ENSG00000162704,,
ENSG00000162734,,
ENSG00000163406,,
ENSG00000163431,,
ENSG00000164111,,
ENSG00000164142,,
ENSG00000164318,,
ENSG00000164379,,
ENSG00000164619,,
ENSG00000165410,,
ENSG00000165959,,
ENSG00000166073,,
ENSG00000166145,,
ENSG00000166250,,
ENSG00000166333,,
ENSG00000166579,,
ENSG00000166825,,
ENSG00000167397,,
ENSG00000167767,,
ENSG00000167779,,
ENSG00000167889,,
ENSG00000167964,,
ENSG00000168140,,
ENSG00000168621,,
ENSG00000168672,,
ENSG00000168874,,
ENSG00000168970,,
ENSG00000168994,,
ENSG00000169213,,
ENSG00000169635,,
ENSG00000170961,,
ENSG00000171067,,
ENSG00000171451,,
ENSG00000171877,,
ENSG00000172348,,
ENSG00000173156,,
ENSG00000173638,,
ENSG00000173898,,
ENSG00000173928,,
ENSG00000174136,,
ENSG00000174718,,
