hmdb,chebi
HMDB0000736,84838
HMDB0002815,28610
HMDB0006731,
HMDB0007989,84795
HMDB0007991,74963
HMDB0008057,84829
HMDB0042996,
HMDB0044026,
HMDB0042310,
HMDB0044889,90053
HMDB0044088,
HMDB0005383,
HMDB0042496,
HMDB0042203,
HMDB0042734,
HMDB0000064,16919
HMDB0001473,16108
HMDB0001076,139419
HMDB0000112,16865
HMDB0000125,16856
HMDB0250763,27570
HMDB0000172,17191
HMDB0000186,36219
HMDB0000696,16643
HMDB0001406,17154
HMDB0303018,
HMDB0001511,17287
HMDB0000267,18183
HMDB0001548,17363
HMDB0000251,15891
HMDB0000235,18385
HMDB0000167,16857
HMDB0000925,15724
HMDB0030396,27897
HMDB0000883,16414
HMDB0013773,28225
HMDB0003405,16855
HMDB0000158,17895
