CHEM_ID,BIOCHEMICAL NAME,RI,MASS,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMSPIDER,KEGG,HMDB,PUBCHEM,COMP_ID,CAS,PLATFORM
30,mevalonate,860,147.06628,Lipid,Mevalonate Metabolism,3061,KJTLQQUUPVSXIM-ZCFIWIBFBE,CC(CCO)(CC(O)=O)O,388367,C02104,HMDB00227,439230,39583,96949-03-0,LC/MS Neg
35,S-1-pyrroline-5-carboxylate,1528,114.05496,Amino Acid,Glutamate Metabolism,60,DWAKNKKXGALPNW-REWHXWOFAV,OC(C1CCC=N1)=O,10140206,C04322,HMDB01301,1196,42370,2906-39-0,LC/MS Pos Early
50,spermidine,3355,146.16518,Amino Acid,Polyamine Metabolism,500,ATHGHQPFGPMSJY-UHFFFAOYAK,NCCCCNCCCN,1071,C00315,HMDB01257,1102,485,124-20-9,LC/MS Pos Early
55,1-methylnicotinamide,1940,137.07094,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4174,LDHMAVIPBRSVRG-UHFFFAOYAE,C[N+]1=CC(C([NH-])=O)=CC=C1,8305504,C02918,HMDB00699,457,27665,1005-24-9,LC/MS Pos Early
62,"12,13-DiHOME",5137,313.23843,Lipid,"Fatty Acid, Dihydroxy",1947,CQSLTKIXAJTQGA-FLIBITNWBI,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,8412123,C14829,HMDB04705,10236635,38395,263399-35-5,LC/MS Neg
93,alpha-ketoglutarate,2700,145.01425,Energy,TCA Cycle,1380,KPGXRSRHYNQIFN-UHFFFAOYAN,O=C(C(O)=O)CCC(O)=O,50,C00026,HMDB00208,51,528,305-72-6;328-50-7;22202-68-2,LC/MS Polar
98,kynurenate,2224,188.03531,Amino Acid,Tryptophan Metabolism,257,HCZHHEIFKROPDY-UHFFFAOYAN,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,3712,C01717,HMDB00715,3845,1417,492-27-3,LC/MS Neg
111,3-hydroxyisobutyrate,1619,103.04007,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",384,DBXBTMSZEOQQDU-REWHXWOFAW,CC(C(O)=O)CO,10140307,C06001,HMDB00336,87,1549,2068-83-9,LC/MS Polar
112,3-hydroxy-3-methylglutarate,2850,161.04555,Lipid,Mevalonate Metabolism,3060,NPOAOTPXWNWTSH-NUQVWONBAH,CC(CC(O)=O)(CC(O)=O)O,4573695,C03761,HMDB00355,1662,531,503-49-1,LC/MS Polar
132,3-phosphoglycerate,590,187.00022,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1178,IACAHGYCKIUESG-REWHXWOFAW,OC(C(O)=O)COP(O)(O)=O,10669764,C00597,HMDB00807,724,1414,80731-10-8,LC/MS Pos Early
136,cholate,5165,407.28029,Lipid,Primary Bile Acid Metabolism,3322,BHQCQFFYRZLCQQ-OELDTZBJBZ,O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1,,C00695,HMDB00619,221493,22842,81-25-4,LC/MS Neg
144,4-hydroxyphenylacetate,1361,151.04007,Amino Acid,Phenylalanine Metabolism,153,XQXPVVBIMDBYFF-REWHXWOFAL,OC(CC1=CC=C(C=C1)O)=O,3881560,C00642,HMDB00020,127,541,156-38-7,LC/MS Neg
