name,Metabolite,method,superClass,mainClass,subClass,hmdbId,chebiId,pubChemId,smiles,inChI,inChIKey,CompoundHMDB,chemicalFormula,formulaAdduct(dontuse),LinkedCompounds,adduct,MZ,MZ source
CE 14:1,,CP,,,,,,,,,,,,,,,,Provided
CE 16:2,,CP,,,,,,,,,,,,,,,,Provided
CE 16:3,,CP,,,,,,,,,,,,,,,,Provided
CE 17:0,,CP,,,,,,,,,,,,,,,,Provided
CE 17:1,,CP,,,,,,,,,,,,,,,,Provided
CE 20:1,,CP,,,,,,,,,,,,,,,,Provided
CE 20:2,,CP,,,,,,,,,,,,,,,,Provided
Cer 40:0;O2,,CP,,,,,,,,,,,,,,,,Provided
Cer 40:2;O2,,CP,,,,,,,,,,,,,,,,Provided
Cer 41:1;O2,,CP,,,,,,,,,,,,,,,,Provided
Cer 41:2;O2,,CP,,,,,,,,,,,,,,,,Provided
Cer 42:0;O2,,CP,,,,,,,,,,,,,,,,Provided
Cer 42:3;O2,,CP,,,,,,,,,,,,,,,,Provided
Cer 43:1;O2,,CP,,,,,,,,,,,,,,,,Provided
Cer 43:2;O2,,CP,,,,,,,,,,,,,,,,Provided
DG 38:6,,CP,,,,,,,,,,,,,,,,Provided
GlcCer 32:1;O2,,CP,,,,,,,,,,,,,,,,Provided
LPC 16:1/0:0,,CP,,,,,,,,,,,,,,,,Provided
LPC 18:0/0:0,,CP,,,,,,,,,,,,,,,,Provided
LPC 20:0/0:0,,CP,,,,,,,,,,,,,,,,Provided
LPC 20:4/0:0,,CP,,,,,,,,,,,,,,,,Provided
LPC 22:1/0:0,,CP,,,,,,,,,,,,,,,,Provided
LPC O-16:1/0:0,,CP,,,,,,,,,,,,,,,,Provided
LPC O-18:1/0:0,,CP,,,,,,,,,,,,,,,,Provided
PC 30:2,,CP,,,,,,,,,,,,,,,,Provided
PC 31:0,,CP,,,,,,,,,,,,,,,,Provided
PC 31:1,,CP,,,,,,,,,,,,,,,,Provided
PC 33:1,,CP,,,,,,,,,,,,,,,,Provided
PC 33:2,,CP,,,,,,,,,,,,,,,,Provided
PC 34:5,,CP,,,,,,,,,,,,,,,,Provided
