"pathwayRampId","inPathway","total"
"RAMP_P_000000001",22,12960
"RAMP_P_000000002",11,12960
"RAMP_P_000000003",5,12960
"RAMP_P_000000004",8,12960
"RAMP_P_000000005",14,12960
"RAMP_P_000000006",14,12960
"RAMP_P_000000007",25,12960
"RAMP_P_000000008",4,12960
"RAMP_P_000000009",14,12960
"RAMP_P_000000010",13,12960
"RAMP_P_000000011",18,12960
"RAMP_P_000000012",11,12960
"RAMP_P_000000013",15,12960
"RAMP_P_000000014",33,12960
"RAMP_P_000000015",33,12960
"RAMP_P_000000016",28,12960
"RAMP_P_000000017",14,12960
"RAMP_P_000000018",28,12960
"RAMP_P_000000019",13,12960
"RAMP_P_000000020",1,12960
"RAMP_P_000000021",5,12960
"RAMP_P_000000022",33,12960
"RAMP_P_000000023",28,12960
"RAMP_P_000000024",56,12960
"RAMP_P_000000025",11,12960
"RAMP_P_000000026",4,12960
"RAMP_P_000000027",13,12960
"RAMP_P_000000028",14,12960
"RAMP_P_000000029",20,12960
"RAMP_P_000000030",23,12960
"RAMP_P_000000031",5,12960
"RAMP_P_000000032",7,12960
"RAMP_P_000000033",4,12960
"RAMP_P_000000034",11,12960
"RAMP_P_000000035",18,12960
"RAMP_P_000000036",27,12960
"RAMP_P_000000037",0,12960
"RAMP_P_000000038",20,12960
"RAMP_P_000000039",14,12960
"RAMP_P_000000040",22,12960
"RAMP_P_000000041",7,12960
"RAMP_P_000000042",15,12960
"RAMP_P_000000043",11,12960
"RAMP_P_000000044",9,12960
"RAMP_P_000000045",23,12960
"RAMP_P_000000046",0,12960
"RAMP_P_000000047",27,12960
"RAMP_P_000000048",5,12960
"RAMP_P_000000049",27,12960
"RAMP_P_000000050",21,12960
"RAMP_P_000000051",22,12960
"RAMP_P_000000052",13,12960
"RAMP_P_000000053",24,12960
"RAMP_P_000000054",27,12960
"RAMP_P_000000055",33,12960
"RAMP_P_000000056",56,12960
"RAMP_P_000000057",11,12960
"RAMP_P_000000058",45,12960
"RAMP_P_000000059",20,12960
"RAMP_P_000000060",17,12960
"RAMP_P_000000061",8,12960
"RAMP_P_000000062",9,12960
"RAMP_P_000000063",24,12960
"RAMP_P_000000064",4,12960
"RAMP_P_000000065",15,12960
"RAMP_P_000000066",17,12960
"RAMP_P_000000067",8,12960
"RAMP_P_000000068",1,12960
"RAMP_P_000000069",1,12960
"RAMP_P_000000070",27,12960
"RAMP_P_000000071",14,12960
"RAMP_P_000000072",8,12960
"RAMP_P_000000073",7,12960
"RAMP_P_000000074",8,12960
"RAMP_P_000000075",1,12960
"RAMP_P_000000076",27,12960
"RAMP_P_000000077",3,12960
"RAMP_P_000000078",56,12960
"RAMP_P_000000079",12,12960
"RAMP_P_000000080",56,12960
"RAMP_P_000000081",2,12960
"RAMP_P_000000082",22,12960
"RAMP_P_000000083",4,12960
"RAMP_P_000000084",21,12960
"RAMP_P_000000085",2,12960
"RAMP_P_000000086",0,12960
"RAMP_P_000000087",7,12960
"RAMP_P_000000088",27,12960
"RAMP_P_000000089",19,12960
"RAMP_P_000000090",0,12960
"RAMP_P_000000091",3,12960
"RAMP_P_000000092",12,12960
"RAMP_P_000000093",14,12960
"RAMP_P_000000094",12,12960
"RAMP_P_000000095",21,12960
"RAMP_P_000000096",23,12960
"RAMP_P_000000097",36,12960
"RAMP_P_000000098",4,12960
"RAMP_P_000000099",29,12960
"RAMP_P_000000100",4,12960
"RAMP_P_000000101",56,12960
"RAMP_P_000000102",8,12960
"RAMP_P_000000103",28,12960
"RAMP_P_000000104",23,12960
"RAMP_P_000000105",22,12960
"RAMP_P_000000106",0,12960
"RAMP_P_000000107",56,12960
"RAMP_P_000000108",34,12960
"RAMP_P_000000109",3,12960
"RAMP_P_000000110",22,12960
"RAMP_P_000000111",14,12960
"RAMP_P_000000112",36,12960
"RAMP_P_000000113",21,12960
"RAMP_P_000000114",9,12960
"RAMP_P_000000115",33,12960
"RAMP_P_000000116",27,12960
"RAMP_P_000000117",9,12960
"RAMP_P_000000118",13,12960
"RAMP_P_000000119",16,12960
"RAMP_P_000000120",9,12960
"RAMP_P_000000121",11,12960
"RAMP_P_000000122",20,12960
"RAMP_P_000000123",4,12960
"RAMP_P_000000124",0,12960
"RAMP_P_000000125",9,12960
"RAMP_P_000000126",27,12960
"RAMP_P_000000127",28,12960
"RAMP_P_000000128",33,12960
"RAMP_P_000000129",8,12960
"RAMP_P_000000130",20,12960
"RAMP_P_000000131",11,12960
"RAMP_P_000000132",39,12960
"RAMP_P_000000133",21,12960
"RAMP_P_000000134",9,12960
"RAMP_P_000000135",56,12960
"RAMP_P_000000136",13,12960
"RAMP_P_000000137",1,12960
"RAMP_P_000000138",13,12960
"RAMP_P_000000139",28,12960
"RAMP_P_000000140",10,12960
"RAMP_P_000000141",33,12960
"RAMP_P_000000142",17,12960
"RAMP_P_000000143",36,12960
"RAMP_P_000000144",25,12960
"RAMP_P_000000145",28,12960
"RAMP_P_000000146",27,12960
"RAMP_P_000000147",33,12960
"RAMP_P_000000148",28,12960
"RAMP_P_000000149",28,12960
"RAMP_P_000000150",15,12960
"RAMP_P_000000151",5,12960
"RAMP_P_000000152",8,12960
"RAMP_P_000000153",17,12960
"RAMP_P_000000154",22,12960
"RAMP_P_000000155",56,12960
"RAMP_P_000000156",9,12960
"RAMP_P_000000157",28,12960
"RAMP_P_000000158",14,12960
"RAMP_P_000000159",21,12960
"RAMP_P_000000160",30,12960
"RAMP_P_000000161",27,12960
"RAMP_P_000000162",6,12960
"RAMP_P_000000163",21,12960
"RAMP_P_000000164",20,12960
"RAMP_P_000000165",30,12960
"RAMP_P_000000166",13,12960
"RAMP_P_000000167",5,12960
"RAMP_P_000000168",28,12960
"RAMP_P_000000169",4,12960
"RAMP_P_000000170",0,12960
"RAMP_P_000000171",15,12960
"RAMP_P_000000172",27,12960
"RAMP_P_000000173",9,12960
"RAMP_P_000000174",4,12960
"RAMP_P_000000175",5,12960
"RAMP_P_000000176",10,12960
"RAMP_P_000000177",17,12960
"RAMP_P_000000178",56,12960
"RAMP_P_000000179",23,12960
"RAMP_P_000000180",30,12960
"RAMP_P_000000181",27,12960
"RAMP_P_000000182",33,12960
"RAMP_P_000000183",0,12960
"RAMP_P_000000184",22,12960
"RAMP_P_000000185",56,12960
"RAMP_P_000000186",9,12960
"RAMP_P_000000187",28,12960
"RAMP_P_000000188",4,12960
"RAMP_P_000000189",17,12960
"RAMP_P_000000190",5,12960
"RAMP_P_000000191",0,12960
"RAMP_P_000000192",15,12960
"RAMP_P_000000193",14,12960
"RAMP_P_000000194",1,12960
"RAMP_P_000000195",28,12960
"RAMP_P_000000196",7,12960
"RAMP_P_000000197",17,12960
"RAMP_P_000000198",10,12960
"RAMP_P_000000199",30,12960
"RAMP_P_000000200",1,12960
"RAMP_P_000000201",9,12960
"RAMP_P_000000202",27,12960
"RAMP_P_000000203",17,12960
"RAMP_P_000000204",33,12960
"RAMP_P_000000205",56,12960
"RAMP_P_000000206",11,12960
"RAMP_P_000000207",1,12960
"RAMP_P_000000208",0,12960
"RAMP_P_000000209",9,12960
"RAMP_P_000000210",36,12960
"RAMP_P_000000211",6,12960
"RAMP_P_000000212",18,12960
"RAMP_P_000000213",33,12960
"RAMP_P_000000214",0,12960
"RAMP_P_000000215",4,12960
"RAMP_P_000000216",30,12960
"RAMP_P_000000217",7,12960
"RAMP_P_000000218",26,12960
"RAMP_P_000000219",23,12960
"RAMP_P_000000220",3,12960
"RAMP_P_000000221",28,12960
"RAMP_P_000000222",0,12960
"RAMP_P_000000223",27,12960
"RAMP_P_000000224",10,12960
"RAMP_P_000000225",5,12960
"RAMP_P_000000226",14,12960
"RAMP_P_000000227",8,12960
"RAMP_P_000000228",7,12960
"RAMP_P_000000229",11,12960
"RAMP_P_000000230",15,12960
"RAMP_P_000000231",13,12960
"RAMP_P_000000232",22,12960
"RAMP_P_000000233",18,12960
"RAMP_P_000000234",17,12960
"RAMP_P_000000235",30,12960
"RAMP_P_000000236",6,12960
"RAMP_P_000000237",14,12960
"RAMP_P_000000238",14,12960
"RAMP_P_000000239",27,12960
"RAMP_P_000000240",56,12960
"RAMP_P_000000241",13,12960
"RAMP_P_000000242",3,12960
"RAMP_P_000000243",19,12960
"RAMP_P_000000244",6,12960
"RAMP_P_000000245",1,12960
"RAMP_P_000000246",9,12960
"RAMP_P_000000247",13,12960
"RAMP_P_000000248",1,12960
"RAMP_P_000000249",0,12960
