pathwayRampId,inPathway,outPathway
RAMP_P_000000001,35,5500
RAMP_P_000000002,20,5515
RAMP_P_000000003,19,5516
RAMP_P_000000004,11,5524
RAMP_P_000000005,53,5482
RAMP_P_000000006,63,5472
RAMP_P_000000007,10,5525
RAMP_P_000000008,59,5476
RAMP_P_000000009,21,5514
RAMP_P_000000010,9,5526
RAMP_P_000000011,1,5534
RAMP_P_000000012,16,5519
RAMP_P_000000013,5,5530
RAMP_P_000000014,53,5482
RAMP_P_000000015,26,5509
RAMP_P_000000016,38,5497
RAMP_P_000000017,0,5535
RAMP_P_000000018,28,5507
RAMP_P_000000019,65,5470
RAMP_P_000000020,29,5506
RAMP_P_000000021,32,5503
RAMP_P_000000022,65,5470
RAMP_P_000000023,12,5523
RAMP_P_000000024,12,5523
RAMP_P_000000025,65,5470
RAMP_P_000000026,9,5526
RAMP_P_000000027,5,5530
RAMP_P_000000028,4,5531
RAMP_P_000000029,38,5497
RAMP_P_000000030,13,5522
RAMP_P_000000031,59,5476
RAMP_P_000000032,7,5528
RAMP_P_000000033,65,5470
RAMP_P_000000034,11,5524
RAMP_P_000000035,22,5513
RAMP_P_000000036,8,5527
RAMP_P_000000037,59,5476
RAMP_P_000000038,2,5533
RAMP_P_000000039,12,5523
RAMP_P_000000040,59,5476
RAMP_P_000000041,20,5515
RAMP_P_000000042,14,5521
RAMP_P_000000043,19,5516
RAMP_P_000000044,20,5515
RAMP_P_000000045,9,5526
RAMP_P_000000046,8,5527
RAMP_P_000000047,21,5514
RAMP_P_000000048,0,5535
RAMP_P_000000049,9,5526
RAMP_P_000000050,9,5526
RAMP_P_000000051,20,5515
RAMP_P_000000052,11,5524
RAMP_P_000000053,20,5515
RAMP_P_000000054,20,5515
RAMP_P_000000055,4,5531
RAMP_P_000000056,28,5507
RAMP_P_000000057,20,5515
RAMP_P_000000058,1,5534
RAMP_P_000000059,46,5489
RAMP_P_000000060,2,5533
RAMP_P_000000061,7,5528
RAMP_P_000000062,17,5518
RAMP_P_000000063,11,5524
RAMP_P_000000064,12,5523
RAMP_P_000000065,0,5535
RAMP_P_000000066,43,5492
RAMP_P_000000067,26,5509
RAMP_P_000000068,12,5523
RAMP_P_000000069,42,5493
RAMP_P_000000070,20,5515
RAMP_P_000000071,42,5493
RAMP_P_000000072,33,5502
RAMP_P_000000073,20,5515
RAMP_P_000000074,45,5490
