"sourceId","IDtype"
"","hmdb"
" 23533","entrez"
" C01213 ","kegg"
" C06475","kegg"
" HMDB00067","hmdb"
" HMDB00122","hmdb"
" HMDB00939","hmdb"
" HMDB00972","hmdb"
" HMDB01056","hmdb"
" HMDB01220","hmdb"
" HMDB02174","hmdb"
" HMDB03333","hmdb"
".","kegg"
"1","entrez"
"1.1.1.110","enzymeNomenclature"
"1.1.1.188","enzymeNomenclature"
"1.1.1.189","enzymeNomenclature"
"1.1.1.190","enzymeNomenclature"
"1.1.1.191","enzymeNomenclature"
"1.1.1.231","enzymeNomenclature"
"1.1.1.43","enzymeNomenclature"
"1.10.3.4","enzymeNomenclature"
"1.11.1.12","enzymeNomenclature"
"1.11.1.7","enzymeNomenclature"
"1.11.1.9","enzymeNomenclature"
"1.13.11.-","enzymeNomenclature"
"1.13.11.10","enzymeNomenclature"
"1.13.11.17","enzymeNomenclature"
"1.13.11.23","enzymeNomenclature"
"1.13.12.3","enzymeNomenclature"
"1.13.99.3","enzymeNomenclature"
"1.14.13.9","enzymeNomenclature"
"1.14.16.-","enzymeNomenclature"
"1.14.16.3","enzymeNomenclature"
"1.14.99.2","enzymeNomenclature"
"1.2.1.-","enzymeNomenclature"
"1.2.1.18","enzymeNomenclature"
"1.2.1.32","enzymeNomenclature"
"1.2.1.38","enzymeNomenclature"
"1.2.1.46","enzymeNomenclature"
"1.2.3.7","enzymeNomenclature"
"1.3.1.18","enzymeNomenclature"
"1.4.3.1","enzymeNomenclature"
"1.4.3.15","enzymeNomenclature"
"1.4.3.16","enzymeNomenclature"
"1.4.3.2","enzymeNomenclature"
"1.5.1.-","enzymeNomenclature"
"1.5.4.1","enzymeNomenclature"
"1.5.99.1","enzymeNomenclature"
"1.7.3.2","enzymeNomenclature"
"1.8.1.13","enzymeNomenclature"
"1.8.3.3","enzymeNomenclature"
"1.8.4.1","enzymeNomenclature"
"1.8.4.2","enzymeNomenclature"
"1.8.4.3","enzymeNomenclature"
"1.8.4.4","enzymeNomenclature"
"1.8.4.7","enzymeNomenclature"
"1.8.5.1","enzymeNomenclature"
"10","entrez"
"100","entrez"
"1000","entrez"
"10000","entrez"
"10001","entrez"
"10001145","pubchem"
"100018","pubchem"
"100021","pubchem"
"10002448","pubchem"
"100026","pubchem"
"10003","entrez"
"100031","pubchem"
"10004","entrez"
"10004016","chemspider"
"10004867","chemspider"
"100049587","entrez"
"10005","entrez"
"10005237","chemspider"
"10006","entrez"
"10006384","pubchem"
"100067","pubchem"
"1000694","chebi"
"10007","entrez"
"10008","entrez"
"10009","entrez"
"10009398","pubchem"
"100098","pubchem"
"1001","entrez"
"10010","entrez"
"100101267","entrez"
"10010147","pubchem"
"1001275","chebi"
"100129543","entrez"
"100129669","entrez"
"100129842","entrez"
"10013","entrez"
"100131187","entrez"
"100131439","entrez"
"100131827","entrez"
"100131902","entrez"
"100131980","entrez"
"100132074","entrez"
"100132285","entrez"
"100132386","entrez"
"100132463","entrez"
"100133941","entrez"
"100137049","entrez"
"10013857","pubchem"
"10014","entrez"
"100147","chebi"
"10015","entrez"
"10015003","pubchem"
"10016","chemspider"
"1001644","chebi"
"10016749","pubchem"
"10016895","pubchem"
"100169751","entrez"
"100169753","entrez"
"100169754","entrez"
"100169755","entrez"
"100169756","entrez"
"100169757","entrez"
"100169758","entrez"
"100169759","entrez"
"100169760","entrez"
"100169761","entrez"
"100169762","entrez"
"100169763","entrez"
"100169764","entrez"
"100169765","entrez"
"100169766","entrez"
"100169767","entrez"
"100169768","entrez"
"10017580","pubchem"
"10018","entrez"
"10018533","pubchem"
"10018695","pubchem"
"100188893","entrez"
"10019","entrez"
"1002","entrez"
"10020","entrez"
"100207","chebi"
"10021","entrez"
"10021298","pubchem"
"100215","pubchem"
"10022","entrez"
"10022771","pubchem"
"10023","entrez"
"10023017","pubchem"
"100241","chebi"
"1002414","chebi"
"10024249","pubchem"
"100246","chebi"
"10025","entrez"
"10026","entrez"
"10027","chemspider"
"100271715","entrez"
"100271849","entrez"
"100271927","entrez"
"100272147","entrez"
"100287144","entrez"
"100287171","entrez"
"100287178","entrez"
"100287205","entrez"
"100287226","entrez"
"100287238","entrez"
"100287327","entrez"
"100287364","entrez"
"100287404","entrez"
"100287441","entrez"
"100287478","entrez"
"100287513","entrez"
"10028772","pubchem"
"100287932","entrez"
"100288323","entrez"
"100288520","entrez"
"100289462","entrez"
"100289635","entrez"
"100293534","entrez"
"1003","entrez"
"100302238","entrez"
"100302282","entrez"
"100302652","entrez"
"100310812","entrez"
"100313","pubchem"
"100321","pubchem"
"10033","chemspider"
"10035","chemspider"
"10035593","pubchem"
"10036","chebi"
"10036413","pubchem"
"10037","chemspider"
"10037499","pubchem"
"10038","entrez"
"10039","entrez"
"10039032","pubchem"
"10039429","pubchem"
"1004","entrez"
"10040237","pubchem"
"10040339","pubchem"
"100413","pubchem"
"10041593","pubchem"
"100417","chebi"
"10042","pubchem"
"10043","entrez"
"10043989","chemspider"
"10044355","pubchem"
"100444","chemspider"
"100450","pubchem"
"10046","entrez"
"10047220","pubchem"
"10047287","pubchem"
"10048","entrez"
"10048103","pubchem"
"100482","chemspider"
"10049","chebi"
"1005","entrez"
"10050","entrez"
"100500809","entrez"
"100505","chemspider"
"100505724","entrez"
"100505753","entrez"
"100506012","entrez"
"100506084","entrez"
"100506658","entrez"
"100506742","entrez"
"100506888","entrez"
"100507436","entrez"
"100507608","entrez"
"10051","entrez"
"10051287","chemspider"
"10052","entrez"
"100526","pubchem"
"100526739","entrez"
"100526760","entrez"
"100526767","entrez"
"100526842","entrez"
"10052730","pubchem"
"100528021","entrez"
"100528032","entrez"
"100529063","entrez"
"100529239","entrez"
"100529261","entrez"
"10053","entrez"
"100532","pubchem"
"100532726","entrez"
"100532731","entrez"
"100532736","entrez"
"10053287","pubchem"
"100533105","entrez"
"100533177","entrez"
"100533467","entrez"
"100534599","entrez"
"10054","entrez"
"10054746","pubchem"
"10055","entrez"
"10056","entrez"
"10057","entrez"
"10058","entrez"
"100582","pubchem"
"10058925","pubchem"
"10059","entrez"
"1006","entrez"
"10060","entrez"
"10060255","pubchem"
"100604","chemspider"
"10060886","pubchem"
"1006090","chebi"
"100616173","entrez"
"10062","entrez"
"10063","entrez"
"10063343","pubchem"
"10065052","pubchem"
"10066","entrez"
"10067873","pubchem"
"10068","entrez"
"100689","pubchem"
"1007","entrez"
"10070028","pubchem"
"10070618","pubchem"
"10071","entrez"
"100714","pubchem"
"10071572","pubchem"
"100717","chebi"
"10072454","pubchem"
"1007254","chebi"
"10073","entrez"
"1007322","chebi"
"10075","entrez"
"100751","pubchem"
"10075692","pubchem"
"10076","entrez"
"10077215","chemspider"
"10077584","pubchem"
"10079","entrez"
"1008","entrez"
"10080","chemspider"
"10081","entrez"
"10082","entrez"
"10084","entrez"
"10084050","pubchem"
"10085008","pubchem"
"10085385","pubchem"
"10085389","pubchem"
"10086169","pubchem"
"10087","entrez"
"10087955","pubchem"
"100880","chebi"
"10088114","pubchem"
"10089","entrez"
"1009","entrez"
"10090","entrez"
"100900","pubchem"
"10091","chemspider"
"10091038","pubchem"
"100913187","entrez"
"10092","entrez"
"10093","entrez"
"10094","entrez"
"10095","entrez"
"10095293","pubchem"
"10095499","pubchem"
"10096","entrez"
"10097","entrez"
"10099444","pubchem"
"100996750","entrez"
"100996758","entrez"
"101","entrez"
"1010","entrez"
"10100","chebi"
"10100278","pubchem"
"101003","pubchem"
"101005","pubchem"
"101009","chebi"
"10100906","pubchem"
"10101","entrez"
"101010","pubchem"
"10102","entrez"
"101022","chebi"
"101032","chemspider"
"10103208","pubchem"
"10103438","pubchem"
"101044","chemspider"
"10104501","pubchem"
"10104880","pubchem"
"10104953","pubchem"
"10105","entrez"
"10105653","pubchem"
"10106","entrez"
"101060233","entrez"
"10106139","pubchem"
"10107","entrez"
"10108","pubchem"
"101085","chebi"
"10108584","pubchem"
"10109","entrez"
"101096","chebi"
"10110","entrez"
"10111","entrez"
"101115","pubchem"
"10112","entrez"
"101122","pubchem"
"10113","entrez"
"10114","entrez"
"101150","pubchem"
"101153","pubchem"
"10116","entrez"
"10117","entrez"
"10118","chemspider"
"1011895","chebi"
"10119","chebi"
"1012","entrez"
"10120","entrez"
"101202","chebi"
"10121","entrez"
"1012277","chebi"
"10123","pubchem"
"10124","chebi"
"10125","entrez"
"10125146","pubchem"
"101257","pubchem"
"10126","entrez"
"10126440","pubchem"
"10127","entrez"
"10127573","pubchem"
"101277","pubchem"
"101278","chebi"
"10128","entrez"
"10128115","chemspider"
"10128117","chemspider"
"10128135","chemspider"
"10128137","chemspider"
"10128175","chemspider"
"10128178","chemspider"
"10128183","chemspider"
"10128184","chemspider"
"10128230","chemspider"
"10128305","chemspider"
"10128306","chemspider"
"10128337","chemspider"
"10128338","chemspider"
"10128339","chemspider"
"10128340","chemspider"
"10128341","chemspider"
"10128349","chemspider"
"10128350","chemspider"
"10128351","chemspider"
"10128352","chemspider"
"10128353","chemspider"
"10128354","chemspider"
"10128361","chemspider"
"10128362","chemspider"
"10128363","chemspider"
"10128364","chemspider"
"10128365","chemspider"
"10128367","chemspider"
"10128368","chemspider"
"10128369","chemspider"
"10128491","chemspider"
"10128492","chemspider"
"10128500","chemspider"
"10129174","chemspider"
"10129200","chemspider"
"1013","entrez"
"10130","entrez"
"10130220","pubchem"
"10130994","chemspider"
"10131","entrez"
"10131025","pubchem"
"1013138","chebi"
"10132","pubchem"
"10132611","chemspider"
"10133","entrez"
"1013314","chemspider"
"1013323","chemspider"
"10134","entrez"
"10135","entrez"
"10136","entrez"
"10136430","chemspider"
"101365","pubchem"
"101369","chebi"
"10137","chemspider"
"10137246","chemspider"
"10138","entrez"
"10138595","chemspider"
"10139","entrez"
"101399","pubchem"
"1014","pubchem"
"10140","entrez"
"10140102","chemspider"
"10140108","chemspider"
"10140126","chemspider"
"10140132","chemspider"
"10140159","chemspider"
"10140183","chemspider"
"10140190","chemspider"
"10140198","chemspider"
"10140216","chemspider"
"101405","pubchem"
"10142","entrez"
"10142653","pubchem"
"10143","pubchem"
"10143380","pubchem"
"10144","entrez"
"10145712","chemspider"
"10146","entrez"
"10147","entrez"
"10148","entrez"
"10148626","chemspider"
"10149","entrez"
"1015","pubchem"
"10151","entrez"
"10152","entrez"
"10153","entrez"
"101536","pubchem"
"10154","entrez"
"101543","pubchem"
"10155","entrez"
"10156","entrez"
"10157","entrez"
"10159","entrez"
"1016","entrez"
"10160","entrez"
"10160255","chemspider"
"10160731","chemspider"
"101609","pubchem"
"10161","entrez"
"101611880","pubchem"
"10162","entrez"
"10163","entrez"
"1016357","chebi"
"10164","entrez"
"101641","chemspider"
"10165","entrez"
"10166","entrez"
"10168","entrez"
"101685","pubchem"
"101688","pubchem"
"10169083","chemspider"
"1017","entrez"
"10170","entrez"
"101708","pubchem"
"10171","entrez"
"101711","pubchem"
"10171359","pubchem"
"101716","pubchem"
"10172","entrez"
"101722","chemspider"
"101731","pubchem"
"10174","entrez"
"10174551","chemspider"
"10174581","pubchem"
"101748","pubchem"
"10174971","chemspider"
"10175","entrez"
"101750","pubchem"
"10175754","chemspider"
"10175793","chemspider"
"101761","pubchem"
"10176277","pubchem"
"10176752","pubchem"
"10176995","chemspider"
"10176999","chemspider"
"101770","pubchem"
"10177002","pubchem"
"101771","pubchem"
"10178463","pubchem"
"1017870","chebi"
"101790","pubchem"
"10179087","chemspider"
"1018","pubchem"
"10180","pubchem"
"10180765","chemspider"
"10181","entrez"
"10181338","chemspider"
"10181339","chemspider"
"10181341","chemspider"
"10182038","chemspider"
"10183330","chemspider"
"10184","entrez"
"10185","chemspider"
"101850","pubchem"
"101853","chebi"
"10186979","chemspider"
"10186980","chemspider"
"10188","entrez"
"10189","entrez"
"10189090","pubchem"
"10189562","chemspider"
"1019","entrez"
"10190206","chemspider"
"10190950","chemspider"
"101925465","pubchem"
"10192699","chemspider"
"10192700","chemspider"
"10192793","chemspider"
"10193","entrez"
"101930123","entrez"
"10193870","chemspider"
"10194104","chemspider"
"10194105","chemspider"
"10194106","chemspider"
"10195","entrez"
"10196","entrez"
"101964","pubchem"
"101967","chebi"
"10197","entrez"
"10197108","chemspider"
"10197144","chemspider"
"10197150","chemspider"
"101977","pubchem"
"10197713","pubchem"
"10197839","pubchem"
"10198007","pubchem"
"10198648","pubchem"
"101989","pubchem"
"10198924","pubchem"
"10199","entrez"
"10199004","pubchem"
"10199055","pubchem"
"10199754","chemspider"
"102","entrez"
"1020","entrez"
"10200","entrez"
"10200272","pubchem"
"10201","entrez"
"10202","entrez"
"10202285","chemspider"
"10203","entrez"
"102030","pubchem"
"10203511","chemspider"
"10204","pubchem"
"102045","chebi"
"10205904","chemspider"
"10206","entrez"
"10207","entrez"
"10208","pubchem"
"10208360","chemspider"
"10209","entrez"
"10209313","chemspider"
"1021","entrez"
"10210","entrez"
"10210000","chemspider"
"10210001","chemspider"
"10210002","chemspider"
"10211","entrez"
"10211258","chemspider"
"10211353","chemspider"
"10211354","chemspider"
"10211355","chemspider"
"10211356","chemspider"
"10211375","chemspider"
"10211376","chemspider"
"10211379","chemspider"
"10211392","chemspider"
"10211393","chemspider"
"10211471","chemspider"
"10211473","chemspider"
"10212","entrez"
"10213","entrez"
"102130","chebi"
"10214","pubchem"
"10214256","chemspider"
"10214435","pubchem"
"102146","pubchem"
"102157402","entrez"
"10216","chebi"
"102166","chebi"
"10216687","chemspider"
"10216923","chemspider"
"10216924","chemspider"
"10217","pubchem"
"102172","pubchem"
"10217307","chemspider"
"102175","pubchem"
"10217517","chemspider"
"102182","pubchem"
"10218455","chemspider"
"10218753","chemspider"
"10219","entrez"
"10219125","chemspider"
"10219774","pubchem"
"1022","entrez"
"1022-31-7","cas"
